"text","label"
"acido","-sabor"
"muy salado","-sabor"
"Me encanta el sabor de este producto","+sabor"
"La textura de este producto es suave","+textura"
"me gusta su sabor", "+sabor"
"no me gusta nada","-sabor"
"Me gusta mucho su sabor","+sabor"
"No me gusta mucho su sabor","-sabor"
"La textura de este producto es áspera","-textura"
"Este producto tiene un sabor delicioso","+sabor"
"Me gusta la textura de este producto","+textura"
"me gusta su tamanio","+tamanio"
"me gusta mucho su tamanio","+tamanio"
"no me gusta su tamanio","-tamanio"
"me gusta su tamaño","+tamanio"
"No me gusta la textura de este producto","-textura"
"El sabor de este producto es horrible","-sabor"
"porque esta mas doradita y no sabe a conservadores","+sabor +color"
"se siente que esta bien vocido y su color tostadito","+color +sabor"
"el sabor tiene un sablr a tipo chuleya de carne","+sabor"
"su sabor es muy suave al masticar a carne bien cocido","+sabor +textura"
"porque se siente mjy bien nen el paladar su sabor me dabe a pollo","+sabor +textura"
"me gusto la salchicha por el buen ssbor qie tiene y que no ests tan dorada","+sabor +color"
"me gusto mu ho su sabor a la carne y su te tura suave y jugoso","+sabor +textura"
"tiene un sabor condimentado balanceado con la carne y","+sabor"
"el sabor que tiene como mezcla de tocino con la carne es mu6 buena","+sabor"
"el sabor ahumado y el nivel de sal es bueno y exacto","+sabor"
"el sabor es mas fuerte a salchicha como carne y el colpr es rosita y brilloso","+sabor +color"
"esta macisa y me sabe ahumada con condimento natiral","+sabor +textura"
"esta muy rico tiene muy buen sabor ,buen tamaño ,su sabor no es salado ni insipido esta justo como me gusta","+sabor +calidad"
"tiene un sabor muy rico , muy agradable ,se queda en el paladar , y esta excelente y especial el sabor de la salchicha tiene un sabor exquisito no le falta nada","+sabor"
"sabe rico la salchicha. tiene juguto ,esta sabrosa porque tiene el sabor se la salchicha fud","+sabor +textura"
"sabe muy rica , tiene el sabor exacto y ezquisito de las salchichas premiun tiene una consiatencia muy buena exacta para comer en un hot dog","+sabor +textura"
"el sabor me gustó, tien un sabor mas suave mas rico ,es antojable y su consistencia es dura y firme","+sabor +textura"
"me gusto mucho su ssbor a salchicha salada","+sabor"
"me gusto el saboe es como ahumado y al momento de oasarlo se siente rico para seguir comiendo mas y mas y su tamaño es grande y su color es rojo intenso","+sabor +textura +color"
"porque me gusto mas su sabor ,es crujiente ,,tiene un sabor como tipo hamburguesa con tocino ,el tamalo de la salchicha esta muy bien","+sabor +textura +calidad"
"porque tiene un sanor justo como me gusta en cuanto a sal color y que cuando la estoy masticando esta muy orensada tiene buena consistenvia","+sabor +textura +color"
"me gusta su sabor ,pues sabe a cerdo rico con un toque de pavo ,el tamaño exacto para una persona adulta y su consistencia es suave y puedo morder gacilmente","+sabor +tamaño"
"me husta la consistencia al morder , no esta tan suave se batalla menos cuando das la mordida , no esta avida ni salada de su sabor y oercibo como un sabor ahunado","+textura +sabor"
"el sabor esta rico es un sabor exquisito y al mederla se sente bien,no esta chiclosan esta dura","+sabor +textura"
"porque deja muy buen sabor en la boca la salchicha dorada, y a la vez es facil de digerir","+sabor"
"su sabor es un sabor natural ,no se sinte procesado ni condimentado ,seja un sabor agradable en la boca y el yamaño es justo ,es grande y es llenador","+sabor +tamanio"
"porla textura esta blanda a pesar de que esta dorada, sabe muy rica es neurral no esta salado y no pierde su sabor a salchicha por los ingredientes","+textura +sabor"
"tiene un sabor rico , a salchicha como ahumada , no se siente nada salada ni grasosa y ya con los ingredientes realza el sabor de la salchicha","+sabor +textura"
"es facil de masticar y tiene un sabor saladito y te dan ganas de comerla mas","+textura +sabor"
"sabe nas como ahumada , saladita muy rica , no esta nada grasosa y es suave y fe calidad","+sabor +textura"
"porque es un aabor conocido me gusta mucho ,hace muy buena combinación con los ingredientes que le pongo ,me gusta el sabor","+sabor +textura"
"el sabor es no tan salado, es suave , es un sabor natural a salchica","+sabor +textura"
"sabe mas ahumado como con tocino , como hecha en el asador es el sabor , no esta salada, tiene buen tamaño y no es nada artificial","+tamanio +sabor"
"por su color es natural rosa clarito, consistencia es suave ,y jugosa , sabor es condimentis, no es salado ni dulce , textura es suave no rasposa","+color +textura +sabor"
"tiene buen sabor asalchicha de pavo, esta jugosa , no es grasosa ni salada","+sabor +textura"
"sabe a salchicha con tocino, no esta grasosa , ni muy seca esta justo, esta bien condimentada ni salada","+sabor +textura"
"tiene muy buen sabor a carne, lo salado esta bien esta justo, tiene un ta,maño grande y la textura es suave","+sabor +tamanio"
"la salxhicha tiene un sabor ahumado, esta bien cocida , al momento de masticar deja un sabkr agradabke a cerdo en la boca y dan ganas de comer mas y esta suave","+sabor +textura"
"tiene mejor xonsistenxia, es mas dura no es aguada al momenro de agarrar el hot dog, y su sabor es muy rico sabe pavo la salchicha muy intenso y rico","+textura +sabor"
"tiene mejor consistencia es mas firme , y mejor sabor sqbe a carne de cerdo muy rico, no es salado","+textura +sabor"
"sabe mas natural no sabe a quimico , save a carne como de res, esta saladita","+sabor"
"esta muy jugosa , es grande y esta bien dorada , sabe rico a salxhicha de pavo","+textura +sabor"
"por el sabor, textura princioalmente eso, se queda mas el sabor en el paladar y es mas agradabke propiamente el sabor del embutido","+sabor +textura"
"consitencia es suave, el sabor no es salado, ni dulce esta muy sabrosa sabe a pavo rico","+textura +sabor"
"por su sabor balanceado de sal y condimentos","sabor"
"por el tamaño que es grande y acompañado es una comida completa","tamanio"
"el sabor es bueno de la salchicha ya que sabe natural y no a sbor artificial","+sabor"
"por la textura es suave y cremosa no se siente dura y facil de masticar","+textura"
"el sabor me sabe a la salchicha que no tiene conservadores ni condimentos es un sabor natural a cerdo y no esta salada","+sabor"
"la consistencia es suave es facil de morder el sabor de la salchicha si sabe a cerdo y no sie sientensabor a conservadores","+textura +sabor"
"porque el sabor es como a pavo y no esta salado ni se sienten tantos conservadores ","+sabor"
"a pesar del grosor no batalle para morderla","+tamanio"
"porque tiene mas sabor a carnes friad a salchicha y mas natural","+sabor"
"la textura es suava aun asi doradita no es dura","+textura"
"se siente mas sabor porque no esta tan condi!entado ni salado que se siente jugosita y es suave al morderla","+sabor +textura"
"tiene buen sabor porque no esta salada ","+sabor"
"tiene buen color es rojo y la consistencia es muy suave al masticarla no se hace como masuda en la boca","+color +textura"
"siento el sabor como ahumado y eso le da buen sabor ","+sabor"
"la consistencia es muy suave al morderla y masticarla y no se siente como tiesa al morderlq y te queda el sabor en la boca","+textura +sabor"
"tiene buen sabor es agradable y lo diafrutas despues de pasarla","+sabor"
"la consistencia esta en su ounto porque no esta dura ni demasiado suave","+textura"
"porque la salchicha tiene buen sabor y no esta sqlqda ","+sabor"
"la consistencia esta suave aun doradita es facil de masticar","+textura"
"el sabor es mas rico porque no es salada ","+sabor"
"la suavidad de la salcicha al morderla es buena yq no no es demasiado suave","+textura"
"porque tiene muy buen sabor como a pavo y no esta salada ","+sabor"
"esta muy suave al momento de morederla","+textura"
"se siente mas el sabor a carne y un sabor ahumado ","+sabor"
"tiene lq suficiente cantidad de sal y estq suave ql morderlo","+sabor"
"no me gusta su sabor","-sabor"
"me gusta el sabor de este producto","+sabor"
"su consistencia ea suave facil de morder y masticar ","+textura"
"aunque esta saladita me gusta porque no llegq amargqr","+sabor"
"tiene mejor sabor sabe como a salchicha de pavo ahumada ","+sabor"
"la consistencia ql morderla es suave y facil de masticar","+textura"
"porque la salchicha esta gruesa y eso lo hace llenador, y larga , te sacia el apetito","+tamanio"
"por el tamaño es mas grande, con una pieza llena","+tamanio"
"porque sabe más rico, más jugosita, no esta dura","+sabor +textura"
"tiene buena consistencia no esta muy masuda, esta suave. el sabor sabe a pavo","+textura +sabor"
"sabe muy rica. carne y tiene color a carne","+sabor +color"
"me supo mas rica a mas carne natural","+sabor"
"el sabor esta muy rico, sabe como a queso , muy sabroso","+sabor"
"esta mas jugosa la salchicha, y eso le da mejor sabor va salchicha","+textura"
"esta gruesa el grosor just, asi le parece como una comida completa","+tamanio"
"el sabor es poquito saladito como me gusta, esta bien el tamaño es grande","+sabor +tamanio"
"su color rosita, se como carne normal.y","+color +sabor"
"el sabor es menos salada , al tenerla en la boca ouedo partirla mas rápido","+sabor +textura"
"esta muy rica sabe a pavo ,","+sabor"
"sabe a carne de verdad, su consistencia esta carnosita,","+sabor +textura"
"el sabor está muy rico se siente jugosa, y como que esta dulce","+sabor +textura"
"porque esta muy blandita y no siente tan doradita","-textura"
"se siente al morder como cruda menos dorada","-textura"
"si tiene saborhr lerl es mas simple le falta sabor","-sabor"
"porque sabe mucho a condimento","-sabor"
"me gusto muy poco su sabor","-sabor"
"el color muy claro y le falta sal","-sabor"
"porque al masticarlo se siente rasposita","-textura"
"esta un poquito mas seco","-textura"
"le falta sal su sabor es bueno pero le falta","-sabor"
"esta desabrido le falta mas condimento","-sabor"
"esta muy muy salada y al masticarla a se siente aguada en la boca","-sabor -textura"
"esta muy salada la salchicha y sabe en el paladar se siente de poca calidad","-sabor -textura"
"le falta sal y coimento y no me gustp tanto","-sabor"
"esta muy mazuda y el sabpr no me gusto es sin sabor a nada","-textura -sabor"
"esta rico me husta pero esta un poquito salado de todo lo dmas esta bien","-sabor +textura +color +calidad"
"es una salchicha con sabor normal , como cualquier otra salchicha de hot dog , es un sabor simple","-sabor"
"porque esta salqda , se pierde el sabor de la salchicha por que trae mas sabor. a sal que a salchicha","-sabor"
"sabe muy bien combinada con el pan y todos los ingredientes ,- pero la senti salada y su consistencia es muy aguada le falta consistencia","-sabor -textura"
"tiene menos sabor a salchicha. es menos antojable , y le falta sabor a salchicha oara hot dog","-sabor"
"porque tiene un sabor suave a salchicha cocida , y su consistencia en suave y tambien esta muy rica para comerla en un hot dog","+sabor +textura"
"tiene un aabor diferente, es mas suave su sabor y tiene una consistencia mas dura","-sabor -textura"
"porque la consistencia es masuda como si se wstuviera deaaciendo","-textura"
"le falta sabor a sal ,es insipida para mi gusto","-sabor"
"el sabor xe la salchicha es suave , porque yaen conjunto con el oan y demas ingredientes se pierde el sabor de la salchicha","-sabor"
"su tamaño es exacto para una persona adulta y su consistencia es buena es facil de comer , nada mas","-tamanio"
"se me hace muy salada , se me hace muy aguada al momento de dar la mordida también cuando muerdes se diguculta dar la mordida y se salen los ingredientes y me da un toque como ácido su sabor , seria todo","-sabor -textura"
"el sabor esta rico ,no está salada , y su consistencia no es dura es muy facil de comer","+sabor +textura"
"su consistencia esta muy aguafa a m parecer , su sabor es amargo , no sabe a sal ,a grasa y esoeraba mas del produxto tenia altas esoectayivas del producto","-textura -sabor"
"porque tiene un sabor saladito y se queda l sabor en el paladar y es agradable el sabor , nada más","+sabor"
"su sabor es pesimo ,al masricarlo no sabe a nada pero me deja un sabor en la boca a hule pero tiene muy buena apariencia","-sabor +apariencia"
"es un poco mas salada , la tectira esta un ooco mas seca de la salchicha , ya con los ingredientes no sabe tanto a salchicha de res","-sabor -textura"
"sabe bien se siente mas grasosa ya comiéndolo pero esta buena, esta suave no de rompe al morderlo , qe se despedace se puede masticar bien","+sabor +textura"
"es facil de masticar es mas suave el sabor no esta dulce ni salado de la salchicha","-sabor"
"es mas suave el sabor esta , menos salado , no es grasosa la salchicha , es de calidad","+sabor +calidad +"
"el sabor es mas salado y la textura no es tan suave","-sabor -textura"
"tiene muy buen tamaño, es mas salado pero muy rico no sabe artificial","+tamanio +sabor"
"su color no es agadable es un rojo iintneso mas artificial, su olor esta muy condimentado muy fuerte","-color -calidad"
"esta estamuy seca , un poca mas salada , el sabor a salchicha es muy tenue","-textura -sabor"
"sabe mas ahumada no esta seca esta jugosa no le falta sal","+sabor +textura"
"la senti muy salada","-sabor"
"tuene un sabor a salchicha como de pavo y esta un poco mas seca","+sabor -textura"
"ests bien cocida , el sabor de la salchicha esta mas suave y se siente mas jugosa","+sabor +textura"
"la consistencia es mas suave, su sabor esta bueno es un poco mas ligero a pavo , no es grasosa","+sabor +textura"
"la textura es mas suave , es un poco mas salado y tiene un sabor ahumado la salchicha","+textura +sabor"
"es menos salada, sabe bien sabe a carne como de res mas suave, no esta dura la salchicha","+sabor +textura"
"sabe rica esta un poco mas salada , esta bien dorada , esta jugosa y sabe a salchicha de pavo","+sabor +textura"
"el tamaño y la textura es similar a la otra salchicha para hotdog, el sabor un poquito mas diferente siento condimento y sabor a quesoy picante deesta salchicha","+sabor +textura"
"su sabor es un poco mas dulce de la salchicha se siente menos salada mas geasosita","+sabor +textura"
"esta un poco fuerte su sabor a salchicha","-sabor"
"no me gusta nada","-sabor -textura"
"es grande au tamaño y al estar grande llnas mas y mas preoarados. con un solo hot dog ","+tamaño"
"el sabor es bueno pero no se sientebel saor natural le falta sabor al puerco","-sabor"
"tiene buen sabor pero un poco menos q sabor natural se siente un poquito sintetica pero es buena","-sabor"
"por1e el sabor es un poco salado y se siente aun con los ingrediente ","-sabor"
"tiene buena comsistemcia ya que es suave","+textura"
"p9rque no me supo a salchicha no tiene sabor a una salchicha y casi no tiene","-sabor"
"tiene buen sabor a la salchicha ","-sabor"
"solo le falta un poco de sal tiene buen color rosa fuerte como esnoa salchicha","-sabor +color"
"tiene menos sabor a salchicha le falta un poco mas de sal ","-sabor"
"aunque tiene buen sabor es menos fuerte su sabor ","+sabor"
"su consistencia es suave al morderla no es dura ni masuda","+textura"
"tiene buen sabor a la calchicha ","+sabor"
"tiene mas sal de la que me gusta y y la siento un poco mas dura al masticarla","-sabor -textura"
"tiene un sabor mas deshabrido le falta sabor a sal y sabor de la salchicha","-sabor"
"porque esta salada y es mucho mas suave de lo que me gusta su textura","-sabor -textura"
"tiene buen sabor en cuanto a la carne fria solo lo salada","+sabor"
"la consistencia es un ooco mas suave de lo que me gusta aun dorada se siente asi ","+textura"
"se siente un poco menos el sabor de la sal","-sabor"
"oor el sabor salado y me deja el sabor fuerte en la boca","+sabor"
"la consistencia es buena y suave facil de morder","+textura"
"porque siento que su consistencia es un poco dura al masticarla" ,"-textura"
"tiene sabor salado se siente y te deja ese sabor salado en la boca","-sabor"
"tiene exageradamente sabor a sal qmarga la boca por el sabor a sal","-sabor"
"la consistencia es mas dura y es un poco seca","-textura"
"el sabir esta muy salado y deja ese sabor amargo en la boca" ,"-sabor"
"esta un poc9 dura al morderlq","-textura"
"me gusto el grosor de la salchicha , me sació el apetito, no esta cruda","+tamanio +sabor"
"su tamaño grande, lo hace llenador","+tamanio"
"esta seca y tiene puntitos blancos que no se antoja mucho","-textura"
"no tiene sabor a nada","-sabor"
"esta muy difícil de masticar está muy chicloso","-textura"
"le falta sabor a carne","-sabor"
"esta muy salado , no sabe a salchicha","-sabor"
"esta muy seca cse batalla para masticar","-textura"
"esta muy delgada , siento que es mas lo que sabe del pan y lo que se agrega que las salchicha","-tamanio -sabor"
"no tiene sabor a nada","-sabor"
"se mira negra la salchicha y con poros y eso no me gusta","-calidad"
"esta muy salada ","-sabor"
"esta mas delgada, y me parece queno se puede compartir","-tamanio"
"le falta sabor a carne, esta muy aguada su consistencia","-sabor -textura"
"esta muy reseca la salchicha, se siente reseva en la boca","-textura"
"no me gusta su textura pero sabe muy rico","-textura -sabor"